INFO:     Started server process [26676]
INFO:     Waiting for application startup.
2026-07-16 22:47:00,908 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.disabled" reason="tracing_disabled_or_missing_api_key"
2026-07-16 22:47:00,909 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-07-16 22:47:00,924 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-07-16 22:47:00,925 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-07-16 22:47:01,313 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-07-16 22:47:01,314 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-07-16 22:47:01,340 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8010 (Press CTRL+C to quit)
2026-07-16 22:47:11,858 | INFO | fast_app.middlewares.request_id_middleware | request_id=3192091e67e445a680db0c2343445269 | trace_id=3192091e67e445a680db0c2343445269 | http_request event="http.request.finish" method="GET" path="/health" status_code=200 latency_ms=1.98
2026-07-16 22:47:23,198 | INFO | fast_app.middlewares.request_id_middleware | request_id=3dd4e41784d84008b5c6dde8cbfae2f9 | trace_id=3dd4e41784d84008b5c6dde8cbfae2f9 | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=200 latency_ms=141.04
2026-07-16 22:47:25,795 | INFO | fast_app.api.rag_chat_routes | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | rag_chat_request event="rag.chat.request.start" user_id="tool_user_15_7_admin" auth_source="jwt" session_id=- external_session_id=- query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" mode="hybrid" top_k=3 candidate_k=3 min_score=0.0
2026-07-16 22:47:25,795 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | rag_agent_pipeline event="rag_agent.pipeline.start" pipeline_provider="rag_agent" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" mode="hybrid" top_k=3 candidate_k=3 min_score=0.0
2026-07-16 22:47:32,958 | INFO | httpx | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-16 22:47:32,966 | INFO | fast_app.graph.rag_agent_nodes | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | rag_agent_decision event="rag_agent.decide_next_action.task_plan" pipeline_provider="rag_agent" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" route="execute_task_plan" task_plan_id="task_plan_20260716144732_ed902ce039f5" task_kind="question_decomposition" step_count=1
2026-07-16 22:47:32,967 | INFO | fast_app.graph.rag_agent_nodes | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | rag_agent_loop event="rag_agent.check_loop_limits.finish" pipeline_provider="rag_agent" route="execute_task_plan" should_continue=True reason="continue" step_count=1 tool_call_count=0
2026-07-16 22:47:32,972 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | rag_agent_pipeline event="rag_agent.pipeline.finish" pipeline_provider="rag_agent" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" mode="hybrid" top_k=3 candidate_k=3 min_score=0.0 effective_query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" original_query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" rewritten_query=- query_rewrite_reason="session_id_empty" summary_used=False summary_version=- latency_ms=7176.27 source_count=0 answer_length=641 final_reason="agent_task_waiting_confirmation"
2026-07-16 22:47:32,972 | WARNING | fast_app.services.rag_agent_pipeline_service | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | slow_operation event="rag_agent.pipeline.slow" latency_ms=7176.27 threshold_ms=5000.0 slow_component="pipeline" pipeline_provider="rag_agent" status="success" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" mode="hybrid" top_k=3 source_count=0 answer_length=641
2026-07-16 22:47:32,973 | INFO | fast_app.api.rag_chat_routes | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | rag_chat_request event="rag.chat.request.finish" user_id="tool_user_15_7_admin" auth_source="jwt" session_id=- external_session_id=- query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" mode="hybrid" top_k=3 candidate_k=3 min_score=0.0 latency_ms=7177.17 source_count=0 answer_length=641
2026-07-16 22:47:32,973 | INFO | fast_app.middlewares.request_id_middleware | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | http_request event="http.request.finish" method="POST" path="/rag/chat" status_code=200 latency_ms=9745.34
2026-07-16 22:47:32,973 | WARNING | fast_app.middlewares.request_id_middleware | request_id=eaaf2a009ec34210aecb7dee41e91dd7 | trace_id=eaaf2a009ec34210aecb7dee41e91dd7 | slow_operation event="http.request.slow" latency_ms=9745.34 threshold_ms=3000.0 slow_component="http_request" method="POST" path="/rag/chat" status_code=200 status="success"
2026-07-16 22:47:35,529 | INFO | fast_app.agents.mcp_client_boundary | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | mcp_client event="mcp.stdio.list_tools.finish" command=".venv/Scripts/python.exe" tool_count=1 tool_names=["fetch"]
2026-07-16 22:47:35,763 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-07-16 22:47:36,096 | INFO | fast_app.agents.web_search_tools | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | web_search event="web_search.bocha.start" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。 请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" count=3
2026-07-16 22:47:36,538 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://api.bochaai.com/v1/web-search "HTTP/1.1 200 "
2026-07-16 22:47:36,540 | INFO | fast_app.agents.web_search_tools | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | web_search event="web_search.bocha.finish" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。 请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" count=3 result_count=3
2026-07-16 22:47:36,540 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.start" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" query_length=78 context_doc_count=3 context_length=2800 timeout_seconds=60.0
2026-07-16 22:47:41,865 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-16 22:47:41,867 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.finish" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" answer_length=19 latency_ms=5327.73 prompt_tokens=1364 completion_tokens=251 total_tokens=1615 finish_reason="stop" model_name_from_response="qwen3.7-plus" usage_available=True
2026-07-16 22:47:41,868 | WARNING | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | slow_operation event="llm.generate.slow" latency_ms=5327.73 threshold_ms=5000.0 slow_component="llm" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" answer_length=19 prompt_tokens=1364 completion_tokens=251 total_tokens=1615
2026-07-16 22:47:47,606 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-16 22:47:47,923 | INFO | fast_app.agents.web_search_tools | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | web_search event="web_search.bocha.start" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。 请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" count=5
2026-07-16 22:47:48,226 | INFO | fast_app.agents.web_search_tools | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | web_search event="web_search.bocha.start" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。 请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" count=5
2026-07-16 22:47:48,520 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://api.bochaai.com/v1/web-search "HTTP/1.1 200 "
2026-07-16 22:47:48,520 | INFO | fast_app.agents.web_search_tools | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | web_search event="web_search.bocha.finish" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。 请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" count=5 result_count=0
2026-07-16 22:47:48,521 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.start" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" query_length=78 context_doc_count=0 context_length=28 timeout_seconds=60.0
2026-07-16 22:47:48,527 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://api.bochaai.com/v1/web-search "HTTP/1.1 200 "
2026-07-16 22:47:48,528 | INFO | fast_app.agents.web_search_tools | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | web_search event="web_search.bocha.finish" query="请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。 请联网搜索 python-pptx 1.0.2 官方 Shapes API，并说明 GroupShape 是否包含递归 Shape Tree。" count=5 result_count=0
2026-07-16 22:47:48,528 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.start" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" query_length=78 context_doc_count=0 context_length=28 timeout_seconds=60.0
2026-07-16 22:47:52,494 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-16 22:47:52,497 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.finish" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" answer_length=19 latency_ms=3968.14 prompt_tokens=361 completion_tokens=169 total_tokens=530 finish_reason="stop" model_name_from_response="qwen3.7-plus" usage_available=True
2026-07-16 22:47:53,030 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-16 22:47:53,035 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.finish" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" answer_length=19 latency_ms=4514.01 prompt_tokens=361 completion_tokens=206 total_tokens=567 finish_reason="stop" model_name_from_response="qwen3.7-plus" usage_available=True
2026-07-16 22:48:01,058 | INFO | httpx | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-16 22:48:01,062 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=558d840db2444099a98bc116688449e2 | trace_id=558d840db2444099a98bc116688449e2 | llm_generate event="llm.generate.start" provider="qwen_langchain" model_name="qwen3.7-plus" operation="generate" query_length=86 context_doc_count=0 context_length=2781 timeout_seconds=60.0
