INFO:     Started server process [29676]
INFO:     Waiting for application startup.
2026-07-13 17:17:25,104 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-1" endpoint="https://api.smith.langchain.com"
2026-07-13 17:17:25,104 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-07-13 17:17:25,204 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-07-13 17:17:25,205 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-07-13 17:17:25,551 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-07-13 17:17:25,551 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-07-13 17:17:25,584 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
2026-07-13 17:17:25,763 | INFO | fast_app.middlewares.request_id_middleware | request_id=24943b18d5694f7389f8cd6106842968 | trace_id=24943b18d5694f7389f8cd6106842968 | http_request event="http.request.finish" method="GET" path="/health" status_code=200 latency_ms=2.34
2026-07-13 17:20:13,774 | INFO | fast_app.middlewares.request_id_middleware | request_id=b4bfd5d7279b46d7a414eca9b6b62d8a | trace_id=b4bfd5d7279b46d7a414eca9b6b62d8a | http_request event="http.request.finish" method="GET" path="/health" status_code=200 latency_ms=0.81
2026-07-13 17:20:37,738 | INFO | fast_app.middlewares.request_id_middleware | request_id=a8e58481a31948378dce86f3f3a1a919 | trace_id=a8e58481a31948378dce86f3f3a1a919 | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=200 latency_ms=173.34
2026-07-13 17:20:40,296 | INFO | fast_app.api.rag_chat_routes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_chat_request event="rag.chat.request.start" user_id="tool_user_15_7_manager" auth_source="jwt" session_id="user:tool_user_15_7_manager:session:real-acceptance-doc-delete-guard-off-20260713:5052d34e61af3bb1" external_session_id="real-acceptance-doc-delete-guard-off-20260713" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" mode="hybrid" top_k=3 candidate_k=6 min_score=0.0
2026-07-13 17:20:40,412 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_pipeline event="rag_agent.pipeline.start" pipeline_provider="rag_agent" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" mode="hybrid" top_k=3 candidate_k=6 min_score=0.0
2026-07-13 17:20:40,428 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_query_rewrite event="rag_agent.query_rewrite.applied" session_id="user:tool_user_15_7_manager:session:real-acceptance-doc-delete-guard-off-20260713:5052d34e61af3bb1" original_query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" rewritten_query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" used_history=False used_summary=False summary_version=- reason="history_window_empty" history_message_count=0
2026-07-13 17:20:49,948 | INFO | httpx | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-13 17:20:49,961 | INFO | fast_app.graph.rag_agent_nodes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_decision event="rag_agent.decide_next_action.finish" pipeline_provider="rag_agent" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" route="knowledge_retrieval" route_reason="default_retrieve" step_count=1
2026-07-13 17:20:49,963 | INFO | fast_app.graph.rag_agent_nodes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_loop event="rag_agent.check_loop_limits.finish" pipeline_provider="rag_agent" route="knowledge_retrieval" should_continue=True reason="continue" step_count=1 tool_call_count=0
2026-07-13 17:20:49,966 | INFO | fast_app.agents.rag_agent_tools | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_retrieval event="rag.retrieval.hybrid.start" pipeline_provider="rag_agent" tool_name="knowledge_retrieval" retrieval_mode="hybrid" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" top_k=3 candidate_k=6 min_score=0.0
2026-07-13 17:20:49,967 | INFO | fast_app.components.retrievers.elasticsearch_keyword_retriever | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | elasticsearch_search event="elasticsearch.search.start" index_name="python_agent_demo_chunks" query_field="content" index_analyzer="ik_max_word" search_analyzer="ik_smart" size=6 request_timeout=10.0 filter_count=2 has_filter=True query_body={"bool": {"must": [{"match": {"content": {"query": "请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。"}}}], "filter": [{"term": {"metadata.source_path": "docs/knowledge-base-acl-test/development/agent-memory-real-acceptance-20260713.md"}}, {"bool": {"should": [{"term": {"metadata.visibility": "public"}}, {"terms": {"metadata.allowed_departments": ["development"]}}, {"term": {"metadata.allowed_users": "tool_user_15_7_manager"}}], "minimum_should_match": 1}}]}}
2026-07-13 17:20:50,737 | INFO | elastic_transport.transport | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | POST http://127.0.0.1:9200/python_agent_demo_chunks/_search [status:200 duration:0.000s]
2026-07-13 17:20:50,738 | INFO | fast_app.components.retrievers.elasticsearch_keyword_retriever | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | elasticsearch_search event="elasticsearch.search.finish" index_name="python_agent_demo_chunks" query_field="content" size=6 request_timeout=10.0 filter_count=2 has_filter=True hit_count=1 total_value=1 total_relation="eq" doc_count=1 skipped_hit_count=0 latency_ms=770.47 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:50,738 | INFO | fast_app.agents.rag_agent_tools | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_retrieval event="rag.retrieval.source.finish" pipeline_provider="rag_agent" tool_name="knowledge_retrieval" retrieval_mode="hybrid" retriever="keyword" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" top_k=3 candidate_k=6 min_score=0.0 raw_count=1 filtered_count=1 returned_count=1 latency_ms=770.71 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,050 | INFO | httpx | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-07-13 17:20:51,053 | INFO | fast_app.components.retrievers.milvus_vector_retriever | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | milvus_search event="milvus.embedding.finish" query_length=59 embedding_dim=1024 actual_embedding_dim=1024 embedding_latency_ms=1086.58
2026-07-13 17:20:51,053 | INFO | fast_app.components.retrievers.milvus_vector_retriever | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | milvus_search event="milvus.search.start" collection_name="python_agent_demo_chunks" anns_field="embedding" metric_type="COSINE" limit=6 filter_expr="source_path == \"docs/knowledge-base-acl-test/development/agent-memory-real-acceptance-20260713.md\" and (metadata[\"visibility\"] == \"public\" or array_contains(metadata[\"allowed_departments\"], \"development\") or array_contains(metadata[\"allowed_users\"], \"tool_user_15_7_manager\"))" output_fields=["id", "content", "source", "title", "doc_id", "source_path", "document_type", "chunk_index", "metadata"] output_field_count=9
2026-07-13 17:20:51,119 | INFO | fast_app.components.retrievers.milvus_vector_retriever | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | milvus_search event="milvus.search.finish" collection_name="python_agent_demo_chunks" anns_field="embedding" metric_type="COSINE" limit=6 filter_expr="source_path == \"docs/knowledge-base-acl-test/development/agent-memory-real-acceptance-20260713.md\" and (metadata[\"visibility\"] == \"public\" or array_contains(metadata[\"allowed_departments\"], \"development\") or array_contains(metadata[\"allowed_users\"], \"tool_user_15_7_manager\"))" output_field_count=9 hit_count=1 doc_count=1 skipped_hit_count=0 latency_ms=1152.44 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,120 | INFO | fast_app.agents.rag_agent_tools | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_retrieval event="rag.retrieval.source.finish" pipeline_provider="rag_agent" tool_name="knowledge_retrieval" retrieval_mode="hybrid" retriever="vector" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" top_k=3 candidate_k=6 min_score=0.0 raw_count=1 filtered_count=1 returned_count=1 latency_ms=1153.03 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,120 | INFO | fast_app.services.retrieval_fusion | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_retrieval event="rag.retrieval.rrf.score" input_doc_count=2 unique_doc_count=1 output_doc_count=1 top_k=3 rrf_k=60 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,120 | INFO | fast_app.agents.rag_agent_tools | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_retrieval event="rag.retrieval.rrf.finish" pipeline_provider="rag_agent" tool_name="knowledge_retrieval" retrieval_mode="hybrid" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" top_k=3 candidate_k=6 min_score=0.0 source_count=2 input_doc_count=2 unique_doc_count=1 output_doc_count=1 latency_ms=1153.89 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,120 | INFO | fast_app.graph.rag_agent_nodes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_tool event="rag_agent.call_knowledge_retrieval.finish" pipeline_provider="rag_agent" tool_name="knowledge_retrieval" result_count=1 top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,388 | INFO | httpx | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | HTTP Request: POST https://dashscope.aliyuncs.com/api/v1/services/rerank/text-rerank/text-rerank "HTTP/1.1 200 OK"
2026-07-13 17:20:51,389 | INFO | fast_app.components.rerankers.dashscope_reranker | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | Rerank result ={'output': {'results': [{'index': 0, 'relevance_score': 0.6305876460067046}]}, 'usage': {'total_tokens': 108}, 'request_id': 'be86e6d8-e79b-92f2-931d-583e444e5944'}
2026-07-13 17:20:51,389 | INFO | fast_app.graph.rag_agent_nodes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_rerank event="rag_agent.rerank.finish" pipeline_provider="rag_agent" candidate_count=1 result_count=1 top_k=1 latency_ms=263.3 fallback=False top_doc_ids=["chunk_fa7fac5cf94d019a"]
2026-07-13 17:20:51,392 | INFO | fast_app.graph.rag_agent_nodes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_context event="rag_agent.build_context.finish" pipeline_provider="rag_agent" doc_count=1 context_length=389
2026-07-13 17:20:51,394 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | llm_generate event="llm.generate.start" provider="qwen_langchain" model_name="qwen3.6-plus" operation="generate" query_length=59 context_doc_count=1 context_length=389 timeout_seconds=60.0
2026-07-13 17:21:20,357 | INFO | httpx | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-13 17:21:20,363 | INFO | fast_app.components.llms.qwen_langchain_llm_client | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | llm_generate event="llm.generate.finish" provider="qwen_langchain" model_name="qwen3.6-plus" operation="generate" answer_length=146 latency_ms=28969.17 prompt_tokens=514 completion_tokens=1576 total_tokens=2090 finish_reason="stop" model_name_from_response="qwen3.6-plus" usage_available=True
2026-07-13 17:21:20,364 | WARNING | fast_app.components.llms.qwen_langchain_llm_client | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | slow_operation event="llm.generate.slow" latency_ms=28969.17 threshold_ms=5000.0 slow_component="llm" provider="qwen_langchain" model_name="qwen3.6-plus" operation="generate" answer_length=146 prompt_tokens=514 completion_tokens=1576 total_tokens=2090
2026-07-13 17:21:20,364 | INFO | fast_app.graph.rag_agent_nodes | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_generate event="rag_agent.generate_answer.finish" pipeline_provider="rag_agent" answer_length=146 source_count=1
2026-07-13 17:21:20,372 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_memory event="rag_agent.memory.turn_saved" user_id="tool_user_15_7_manager" session_id="user:tool_user_15_7_manager:session:real-acceptance-doc-delete-guard-off-20260713:5052d34e61af3bb1" external_session_id="real-acceptance-doc-delete-guard-off-20260713" answer_length=146 source_count=1 query_rewrite_reason="history_window_empty" summary_used=False summary_version=-
2026-07-13 17:21:20,388 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_persistence event="rag_agent.persistence.turn_saved" user_id="tool_user_15_7_manager" session_id="user:tool_user_15_7_manager:session:real-acceptance-doc-delete-guard-off-20260713:5052d34e61af3bb1" external_session_id="real-acceptance-doc-delete-guard-off-20260713" operation="run" source_count=1 query_rewrite_reason="history_window_empty" summary_used=False summary_version=-
2026-07-13 17:21:20,389 | INFO | fast_app.services.rag_agent_pipeline_service | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | rag_agent_pipeline event="rag_agent.pipeline.finish" pipeline_provider="rag_agent" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" mode="hybrid" top_k=3 candidate_k=6 min_score=0.0 effective_query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" original_query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" rewritten_query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" query_rewrite_reason="history_window_empty" summary_used=False summary_version=- latency_ms=39976.11 source_count=1 answer_length=146 final_reason="generated_answer"
2026-07-13 17:21:20,389 | WARNING | fast_app.services.rag_agent_pipeline_service | request_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | trace_id=06ed4494fc3945dcaf4a2a387ef8d6c3 | slow_operation event="rag_agent.pipeline.slow" latency_ms=39976.11 threshold_ms=5000.0 slow_component="pipeline" pipeline_provider="rag_agent" status="success" query="请删除包含唯一标识 REAL_ACCEPTANCE_20260713_B 的 Agent Memory 真实验收文档。" mode="hybrid" top_k=3 source_count=1 answer_length=146
