INFO:     Started server process [12916]
INFO:     Waiting for application startup.
2026-07-13 16:57:26,138 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-1" endpoint="https://api.smith.langchain.com"
2026-07-13 16:57:26,139 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-07-13 16:57:26,300 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-07-13 16:57:26,300 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-07-13 16:57:26,823 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-07-13 16:57:26,823 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-07-13 16:57:26,853 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-13 16:57:40,995 | INFO | fast_app.middlewares.request_id_middleware | request_id=8370b8ff4ff043c3860819b00de80bb7 | trace_id=8370b8ff4ff043c3860819b00de80bb7 | http_request event="http.request.finish" method="GET" path="/health" status_code=200 latency_ms=5.53
2026-07-13 17:00:02,566 | INFO | fast_app.middlewares.request_id_middleware | request_id=823d9547d6f241e9ba57cf3779513e9d | trace_id=823d9547d6f241e9ba57cf3779513e9d | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=200 latency_ms=370.16
2026-07-13 17:00:02,581 | INFO | fast_app.middlewares.request_id_middleware | request_id=0f6abe6c90844e0b9d7d307013f695fd | trace_id=0f6abe6c90844e0b9d7d307013f695fd | http_request event="http.request.finish" method="GET" path="/auth/me" status_code=200 latency_ms=11.09
