INFO:     Started server process [23492]
INFO:     Waiting for application startup.
2026-08-04 17:00:54,936 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-04 17:00:54,937 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-04 17:00:54,950 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-04 17:00:54,951 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-04 17:00:55,274 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-04 17:00:55,275 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-04 17:00:55,276 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-04 17:00:55,356 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-04 17:00:55,412 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-04 17:00:58,675 | INFO | fast_app.middlewares.request_id_middleware | request_id=225dd3ef7e314be99dc86dc4fffc5e38 | trace_id=225dd3ef7e314be99dc86dc4fffc5e38 | http_request event="http.request.finish" method="GET" path="/health" status_code=200 latency_ms=2.29
2026-08-04 17:01:06,283 | INFO | fast_app.middlewares.request_id_middleware | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=2799.97
2026-08-04 17:01:14,587 | INFO | httpx | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 17:01:22,947 | INFO | httpx | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 17:01:22,956 | INFO | fast_app.services.conversation.query_rewrite | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | query_rewrite event="query_rewrite.finish" original_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" rewritten_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" used_history=False used_summary=False summary_version=- history_message_count=2 reason="kept_original_query"
2026-08-04 17:01:22,956 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | rag_agent_query_rewrite event="rag_agent.query_rewrite.applied" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-2:4fdac1427769492d" original_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" rewritten_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" used_history=False used_summary=False summary_version=- reason="当前问题与历史问题完全一致，不依赖历史上下文，可以独立检索。" history_message_count=2
2026-08-04 17:01:24,701 | INFO | httpx | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 17:01:24,709 | INFO | fast_app.graph.rag_agent.rag_agent_nodes | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | rag_agent_loop event="rag_agent.check_loop_limits.finish" pipeline_provider="rag_agent" route="direct_web" should_continue=True reason="continue" step_count=1 tool_call_count=0
2026-08-04 17:01:25,027 | INFO | fast_app.agents.tools.web_search_tools | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | web_search event="web_search.bocha.start" query="PostgreSQL 16 \"Row Security Policies\"" count=5
2026-08-04 17:01:25,363 | INFO | httpx | request_id=c041fe61bd6544138dc62b8a3cfe7af8 | trace_id=c041fe61bd6544138dc62b8a3cfe7af8 | HTTP Request: POST https://api.bochaai.com/v1/web-search "HTTP/1.1 200 "
