INFO:     Started server process [30536]
INFO:     Waiting for application startup.
2026-08-04 17:16:04,823 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-04 17:16:04,824 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-04 17:16:04,842 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-04 17:16:04,843 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-04 17:16:05,217 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-04 17:16:05,218 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-04 17:16:05,219 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-04 17:16:05,308 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-04 17:16:05,371 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-04 17:16:13,733 | INFO | fast_app.middlewares.request_id_middleware | request_id=ce5e8d2341a74abba6b2e00122114f95 | trace_id=ce5e8d2341a74abba6b2e00122114f95 | http_request event="http.request.finish" method="OPTIONS" path="/rag/chat/stream/events" status_code=200 latency_ms=0.48
2026-08-04 17:16:16,811 | INFO | fast_app.middlewares.request_id_middleware | request_id=71387580d44a485f905ce80fae252c8f | trace_id=71387580d44a485f905ce80fae252c8f | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=3074.04
2026-08-04 17:16:16,812 | WARNING | fast_app.middlewares.request_id_middleware | request_id=71387580d44a485f905ce80fae252c8f | trace_id=71387580d44a485f905ce80fae252c8f | slow_operation event="http.request.slow" latency_ms=3074.04 threshold_ms=3000.0 slow_component="http_request" method="POST" path="/rag/chat/stream/events" status_code=200 status="success"
