INFO:     Started server process [26132]
INFO:     Waiting for application startup.
2026-08-04 17:36:09,645 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-04 17:36:09,646 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-04 17:36:09,667 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-04 17:36:09,668 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-04 17:36:10,134 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-04 17:36:10,135 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-04 17:36:10,137 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-04 17:36:10,223 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-04 17:36:10,287 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-04 17:36:20,268 | INFO | fast_app.middlewares.request_id_middleware | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=3696.92
2026-08-04 17:36:20,269 | WARNING | fast_app.middlewares.request_id_middleware | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | slow_operation event="http.request.slow" latency_ms=3696.92 threshold_ms=3000.0 slow_component="http_request" method="POST" path="/rag/chat/stream/events" status_code=200 status="success"
2026-08-04 17:36:29,314 | INFO | httpx | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 17:36:37,613 | INFO | httpx | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 17:36:37,623 | INFO | fast_app.services.conversation.query_rewrite | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | query_rewrite event="query_rewrite.finish" original_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" rewritten_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" used_history=False used_summary=False summary_version=- history_message_count=6 reason="kept_original_query"
2026-08-04 17:36:37,624 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | rag_agent_query_rewrite event="rag_agent.query_rewrite.applied" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-2:4fdac1427769492d" original_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" rewritten_query="请联网查询 PostgreSQL 16 官方文档中行级安全策略的作用，并给出来源链接。" used_history=False used_summary=False summary_version=- reason="当前问题与历史中的问题完全一致，不依赖任何历史上下文中的指代或省略，可以独立用于检索。" history_message_count=6
2026-08-04 17:36:38,931 | INFO | httpx | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-04 17:36:38,939 | INFO | fast_app.graph.rag_agent.rag_agent_nodes | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | rag_agent_loop event="rag_agent.check_loop_limits.finish" pipeline_provider="rag_agent" route="direct_web" should_continue=True reason="continue" step_count=1 tool_call_count=0
2026-08-04 17:36:39,317 | INFO | httpx | request_id=38c5c475e75b4e02a85702c52c639751 | trace_id=38c5c475e75b4e02a85702c52c639751 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 400 Bad Request"
