INFO:     Started server process [27800]
INFO:     Waiting for application startup.
2026-08-04 17:56:04,734 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-04 17:56:04,734 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-04 17:56:04,753 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-04 17:56:04,754 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-04 17:56:05,171 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-04 17:56:05,171 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-04 17:56:05,172 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-04 17:56:05,261 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-04 17:56:05,320 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-04 17:56:17,679 | INFO | fast_app.middlewares.request_id_middleware | request_id=1d6edb5549fc458c80b417b8b8c075a3 | trace_id=1d6edb5549fc458c80b417b8b8c075a3 | http_request event="http.request.finish" method="OPTIONS" path="/rag/chat/stream/events" status_code=200 latency_ms=0.57
2026-08-04 17:56:21,937 | INFO | fast_app.middlewares.request_id_middleware | request_id=3c19bfb27ba64583a74c49444df54c45 | trace_id=3c19bfb27ba64583a74c49444df54c45 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=4255.61
2026-08-04 17:56:21,938 | WARNING | fast_app.middlewares.request_id_middleware | request_id=3c19bfb27ba64583a74c49444df54c45 | trace_id=3c19bfb27ba64583a74c49444df54c45 | slow_operation event="http.request.slow" latency_ms=4255.61 threshold_ms=3000.0 slow_component="http_request" method="POST" path="/rag/chat/stream/events" status_code=200 status="success"
