INFO:     Started server process [26928]
INFO:     Waiting for application startup.
2026-08-04 13:51:50,893 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-04 13:51:50,894 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-04 13:51:50,950 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-04 13:51:50,951 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-04 13:51:51,636 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-04 13:51:51,636 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-04 13:51:51,638 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-04 13:51:51,778 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-04 13:51:51,851 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-04 13:51:56,335 | INFO | fast_app.middlewares.request_id_middleware | request_id=82e2e2d8eb744695a83f92af703049c9 | trace_id=82e2e2d8eb744695a83f92af703049c9 | http_request event="http.request.finish" method="GET" path="/health" status_code=200 latency_ms=27.99
2026-08-04 13:52:55,020 | INFO | fast_app.middlewares.request_id_middleware | request_id=930ba584196544388fdeeb5631e3247b | trace_id=930ba584196544388fdeeb5631e3247b | http_request event="http.request.finish" method="OPTIONS" path="/auth/me" status_code=200 latency_ms=0.49
2026-08-04 13:52:55,027 | WARNING | fast_app.core.exception_handlers | request_id=75437a4712364b2c8cff5d5b7d948de9 | trace_id=75437a4712364b2c8cff5d5b7d948de9 | http_error event="http.error" error_category="user_error" error_code="AUTHENTICATION_FAILED" path="/auth/me" method="GET" status_code=401 error_type="AuthenticationError" message="认证失败，请提供有效的 X-API-Key 或 Bearer Token"
2026-08-04 13:52:55,027 | INFO | fast_app.middlewares.request_id_middleware | request_id=75437a4712364b2c8cff5d5b7d948de9 | trace_id=75437a4712364b2c8cff5d5b7d948de9 | http_request event="http.request.finish" method="GET" path="/auth/me" status_code=401 latency_ms=4.83
2026-08-04 13:53:09,421 | INFO | fast_app.middlewares.request_id_middleware | request_id=600fd8c59edf44ffb43eac761fda3c4d | trace_id=600fd8c59edf44ffb43eac761fda3c4d | http_request event="http.request.finish" method="OPTIONS" path="/auth/login" status_code=200 latency_ms=0.22
2026-08-04 13:53:09,520 | INFO | fast_app.middlewares.request_id_middleware | request_id=9af5ea6020014166abddc5bcbd72f1c4 | trace_id=9af5ea6020014166abddc5bcbd72f1c4 | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=200 latency_ms=96.37
2026-08-04 13:53:09,554 | INFO | fast_app.middlewares.request_id_middleware | request_id=805308d66f8542148bdfd4fe90a6f837 | trace_id=805308d66f8542148bdfd4fe90a6f837 | http_request event="http.request.finish" method="GET" path="/auth/me" status_code=200 latency_ms=31.45
2026-08-04 13:53:53,333 | INFO | fast_app.middlewares.request_id_middleware | request_id=5ea2b2aa699049408247cf7f4c13f1e3 | trace_id=5ea2b2aa699049408247cf7f4c13f1e3 | http_request event="http.request.finish" method="OPTIONS" path="/rag/chat/stream/events" status_code=200 latency_ms=0.5
2026-08-04 13:53:56,315 | WARNING | fast_app.core.exception_handlers | request_id=a9e67d9ff0734cb6a06645cb9c3770f9 | trace_id=a9e67d9ff0734cb6a06645cb9c3770f9 | http_error event="http.error" error_category="user_error" error_code="NL2SQL_DISABLED" path="/rag/chat/stream/events" method="POST" status_code=503 error_type="Nl2SqlDisabledError" message="NL2SQL 功能未启用"
2026-08-04 13:53:56,316 | INFO | fast_app.middlewares.request_id_middleware | request_id=a9e67d9ff0734cb6a06645cb9c3770f9 | trace_id=a9e67d9ff0734cb6a06645cb9c3770f9 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=503 latency_ms=2980.52
