INFO:     Started server process [20024]
INFO:     Waiting for application startup.
2026-08-03 21:33:19,158 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-03 21:33:19,158 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-03 21:33:19,173 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-03 21:33:19,174 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-03 21:33:19,556 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-03 21:33:19,557 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-03 21:33:19,559 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-03 21:33:19,646 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-03 21:33:19,710 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-03 21:33:52,180 | WARNING | fast_app.core.exception_handlers | request_id=9ec4886b06c14fd7b18dcddf5d51b9d3 | trace_id=9ec4886b06c14fd7b18dcddf5d51b9d3 | http_error event="http.error" error_category="user_error" error_code="AUTHENTICATION_FAILED" path="/auth/login" method="POST" status_code=401 error_type="AuthenticationError" message="用户名或密码不正确"
2026-08-03 21:33:52,180 | INFO | fast_app.middlewares.request_id_middleware | request_id=9ec4886b06c14fd7b18dcddf5d51b9d3 | trace_id=9ec4886b06c14fd7b18dcddf5d51b9d3 | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=401 latency_ms=83.53
2026-08-03 21:34:39,353 | INFO | fast_app.middlewares.request_id_middleware | request_id=0e2ec3e47edc46d7b265100507d56476 | trace_id=0e2ec3e47edc46d7b265100507d56476 | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=200 latency_ms=92.2
2026-08-03 21:34:39,386 | INFO | fast_app.middlewares.request_id_middleware | request_id=247b4973a3b341a8a297ccd5a7431c81 | trace_id=247b4973a3b341a8a297ccd5a7431c81 | http_request event="http.request.finish" method="GET" path="/auth/me" status_code=200 latency_ms=30.0
2026-08-03 21:34:58,928 | INFO | fast_app.middlewares.request_id_middleware | request_id=b349a84cc9084e5cb6061f88fa87671a | trace_id=b349a84cc9084e5cb6061f88fa87671a | http_request event="http.request.finish" method="OPTIONS" path="/rag/chat/stream/events" status_code=200 latency_ms=0.61
2026-08-03 21:35:01,888 | INFO | fast_app.middlewares.request_id_middleware | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=2955.89
2026-08-03 21:35:11,921 | INFO | httpx | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:35:13,780 | INFO | httpx | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:35:53,089 | INFO | httpx | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:36:16,431 | INFO | httpx | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:36:16,441 | INFO | fast_app.graph.rag_agent.rag_agent_nodes | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | rag_agent_decision event="rag_agent.decide_next_action.task_plan" pipeline_provider="rag_agent" query="根据当前知识库，分别说明混合检索、Rerank 和 Prompt Guard 的职责，并分析它们在一次 RAG 请求中的先后关系与协作边界。" route="execute_task_plan" task_plan_id="task_plan_20260803133616_1759ec28c988" task_kind="question_decomposition" step_count=1
2026-08-03 21:36:16,442 | INFO | fast_app.graph.rag_agent.rag_agent_nodes | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | rag_agent_loop event="rag_agent.check_loop_limits.finish" pipeline_provider="rag_agent" route="execute_task_plan" should_continue=True reason="continue" step_count=1 tool_call_count=0
2026-08-03 21:36:16,457 | INFO | fast_app.middlewares.request_id_middleware | request_id=cc68e111f29e45bda9c267e86f3b8d87 | trace_id=cc68e111f29e45bda9c267e86f3b8d87 | http_request event="http.request.finish" method="OPTIONS" path="/agent/task-plans/task_plan_20260803133616_1759ec28c988/markdown" status_code=200 latency_ms=0.28
2026-08-03 21:36:16,530 | INFO | fast_app.middlewares.request_id_middleware | request_id=32386d0112f74cf9bd7a7303c1c3c4f7 | trace_id=32386d0112f74cf9bd7a7303c1c3c4f7 | http_request event="http.request.finish" method="GET" path="/agent/task-plans/task_plan_20260803133616_1759ec28c988/markdown" status_code=200 latency_ms=71.18
2026-08-03 21:36:24,843 | INFO | httpx | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:36:24,850 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | rag_agent_memory event="rag_agent.memory.turn_saved" user_id="user_MBeEmT7K2eGguofW4CZ1aGTp" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-1-reviewer-max-20260803:ea8f8bc3ceb29a71" external_session_id="taskplan-v2-e2e-1-reviewer-max-20260803" answer_length=992 source_count=0 query_rewrite_reason="history_empty" summary_used=False summary_version=-
2026-08-03 21:36:24,874 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | rag_agent_persistence event="rag_agent.persistence.turn_saved" user_id="user_MBeEmT7K2eGguofW4CZ1aGTp" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-1-reviewer-max-20260803:ea8f8bc3ceb29a71" external_session_id="taskplan-v2-e2e-1-reviewer-max-20260803" operation="stream_events" source_count=0 query_rewrite_reason="history_empty" summary_used=False summary_version=-
2026-08-03 21:36:24,874 | WARNING | fast_app.services.rag.rag_agent_pipeline_service | request_id=5924d42f20194eda98e53711e2a06b38 | trace_id=5924d42f20194eda98e53711e2a06b38 | slow_operation event="rag_agent.stream_events.slow" latency_ms=82889.59 threshold_ms=5000.0 slow_component="pipeline_stream_events" pipeline_provider="rag_agent" query="根据当前知识库，分别说明混合检索、Rerank 和 Prompt Guard 的职责，并分析它们在一次 RAG 请求中的先后关系与协作边界。" original_query="根据当前知识库，分别说明混合检索、Rerank 和 Prompt Guard 的职责，并分析它们在一次 RAG 请求中的先后关系与协作边界。" rewritten_query=- mode="hybrid" top_k=5 token_count=992 source_count=0 final_reason="agent_task_waiting_confirmation"
2026-08-03 21:36:33,842 | WARNING | fast_app.core.exception_handlers | request_id=cb8457d6e2fd491ea011587852126cc4 | trace_id=cb8457d6e2fd491ea011587852126cc4 | http_error event="http.error" error_category="user_error" error_code="NL2SQL_DISABLED" path="/rag/chat/stream/events" method="POST" status_code=503 error_type="Nl2SqlDisabledError" message="NL2SQL 功能未启用"
2026-08-03 21:36:33,844 | INFO | fast_app.middlewares.request_id_middleware | request_id=cb8457d6e2fd491ea011587852126cc4 | trace_id=cb8457d6e2fd491ea011587852126cc4 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=503 latency_ms=1326.06
