INFO:     Started server process [28096]
INFO:     Waiting for application startup.
2026-08-03 21:38:27,238 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-03 21:38:27,238 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-03 21:38:27,253 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-03 21:38:27,254 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-03 21:38:27,610 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-03 21:38:27,610 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-03 21:38:27,611 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-03 21:38:27,705 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-03 21:38:27,766 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-03 21:38:43,387 | INFO | fast_app.middlewares.request_id_middleware | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=3049.15
2026-08-03 21:38:43,388 | WARNING | fast_app.middlewares.request_id_middleware | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | slow_operation event="http.request.slow" latency_ms=3049.15 threshold_ms=3000.0 slow_component="http_request" method="POST" path="/rag/chat/stream/events" status_code=200 status="success"
2026-08-03 21:38:52,109 | INFO | httpx | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:38:53,821 | INFO | httpx | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:39:46,314 | INFO | httpx | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:40:06,233 | INFO | httpx | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:40:06,266 | INFO | fast_app.graph.rag_agent.rag_agent_nodes | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | rag_agent_decision event="rag_agent.decide_next_action.task_plan" pipeline_provider="rag_agent" query="结合《星港远征资产选型报告》和游戏资产数据库，比较已授权 3D 模型的资产费用、模型面数与设计用途，给出候选资产及依据。" route="execute_task_plan" task_plan_id="task_plan_20260803134006_20b1dcac62ad" task_kind="question_decomposition" step_count=1
2026-08-03 21:40:06,267 | INFO | fast_app.graph.rag_agent.rag_agent_nodes | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | rag_agent_loop event="rag_agent.check_loop_limits.finish" pipeline_provider="rag_agent" route="execute_task_plan" should_continue=True reason="continue" step_count=1 tool_call_count=0
2026-08-03 21:40:06,280 | INFO | fast_app.middlewares.request_id_middleware | request_id=3c06b15e864246c191edb73e820ae021 | trace_id=3c06b15e864246c191edb73e820ae021 | http_request event="http.request.finish" method="OPTIONS" path="/agent/task-plans/task_plan_20260803134006_20b1dcac62ad/markdown" status_code=200 latency_ms=0.34
2026-08-03 21:40:06,358 | INFO | fast_app.middlewares.request_id_middleware | request_id=9e6dc707a3494c9cb927955bd8979b58 | trace_id=9e6dc707a3494c9cb927955bd8979b58 | http_request event="http.request.finish" method="GET" path="/agent/task-plans/task_plan_20260803134006_20b1dcac62ad/markdown" status_code=200 latency_ms=75.89
2026-08-03 21:40:15,070 | INFO | httpx | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:40:15,078 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | rag_agent_memory event="rag_agent.memory.turn_saved" user_id="user_MBeEmT7K2eGguofW4CZ1aGTp" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-5-reviewer-max-20260803c:a4f9d856b25c1e9d" external_session_id="taskplan-v2-e2e-5-reviewer-max-20260803c" answer_length=816 source_count=0 query_rewrite_reason="history_empty" summary_used=False summary_version=-
2026-08-03 21:40:15,100 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | rag_agent_persistence event="rag_agent.persistence.turn_saved" user_id="user_MBeEmT7K2eGguofW4CZ1aGTp" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-5-reviewer-max-20260803c:a4f9d856b25c1e9d" external_session_id="taskplan-v2-e2e-5-reviewer-max-20260803c" operation="stream_events" source_count=0 query_rewrite_reason="history_empty" summary_used=False summary_version=-
2026-08-03 21:40:15,100 | WARNING | fast_app.services.rag.rag_agent_pipeline_service | request_id=116dbe2fea36489c810772a26cabcfd6 | trace_id=116dbe2fea36489c810772a26cabcfd6 | slow_operation event="rag_agent.stream_events.slow" latency_ms=91603.78 threshold_ms=5000.0 slow_component="pipeline_stream_events" pipeline_provider="rag_agent" query="结合《星港远征资产选型报告》和游戏资产数据库，比较已授权 3D 模型的资产费用、模型面数与设计用途，给出候选资产及依据。" original_query="结合《星港远征资产选型报告》和游戏资产数据库，比较已授权 3D 模型的资产费用、模型面数与设计用途，给出候选资产及依据。" rewritten_query=- mode="hybrid" top_k=5 token_count=816 source_count=0 final_reason="agent_task_waiting_confirmation"
