INFO:     Started server process [23516]
INFO:     Waiting for application startup.
2026-08-03 21:48:19,252 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-03 21:48:19,252 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-03 21:48:19,267 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-03 21:48:19,267 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-03 21:48:19,629 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-03 21:48:19,630 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-03 21:48:19,631 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-03 21:48:19,721 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-03 21:48:19,784 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-03 21:48:37,376 | INFO | fast_app.middlewares.request_id_middleware | request_id=46e79b6edd8e41328342db7305fd37e9 | trace_id=46e79b6edd8e41328342db7305fd37e9 | http_request event="http.request.finish" method="OPTIONS" path="/rag/chat/stream/events" status_code=200 latency_ms=0.67
2026-08-03 21:48:40,361 | INFO | fast_app.middlewares.request_id_middleware | request_id=e1e1539b3b2749f8848398eee9ffed38 | trace_id=e1e1539b3b2749f8848398eee9ffed38 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=2982.68
2026-08-03 21:48:48,163 | INFO | httpx | request_id=e1e1539b3b2749f8848398eee9ffed38 | trace_id=e1e1539b3b2749f8848398eee9ffed38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 21:48:50,341 | INFO | httpx | request_id=e1e1539b3b2749f8848398eee9ffed38 | trace_id=e1e1539b3b2749f8848398eee9ffed38 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
