INFO:     Started server process [1808]
INFO:     Waiting for application startup.
2026-08-03 22:08:39,515 | INFO | fast_app.core.langsmith | request_id=- | trace_id=- | langsmith_config event="langsmith.config.enabled" project="python-agent-study-phase-final-2" endpoint="https://api.smith.langchain.com"
2026-08-03 22:08:39,516 | INFO | fast_app.main | request_id=- | trace_id=- | 应用启动: app_name=Python Agent Study, env=dev
2026-08-03 22:08:39,535 | INFO | fast_app.main | request_id=- | trace_id=- | Milvus client 已创建
2026-08-03 22:08:39,536 | INFO | fast_app.main | request_id=- | trace_id=- | ElasticSearch client 已创建
2026-08-03 22:08:39,921 | INFO | fast_app.main | request_id=- | trace_id=- | Rerank httpx client 已创建
2026-08-03 22:08:39,921 | INFO | fast_app.main | request_id=- | trace_id=- | Redis client 已创建
2026-08-03 22:08:39,923 | INFO | fast_app.main | request_id=- | trace_id=- | PostgreSQL async engine 已创建
2026-08-03 22:08:40,031 | INFO | fast_app.main | request_id=- | trace_id=- | NL2SQL Dataset 配置已从平台数据库加载
2026-08-03 22:08:40,100 | INFO | fast_app.main | request_id=- | trace_id=- | Deep Agent PostgreSQL checkpoint/store 已创建
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-03 22:08:51,404 | WARNING | fast_app.core.exception_handlers | request_id=4887ab80a319463abcf60cf2b2ff11c3 | trace_id=4887ab80a319463abcf60cf2b2ff11c3 | http_error event="http.error" error_category="user_error" error_code="AUTHENTICATION_FAILED" path="/rag/chat/stream/events" method="POST" status_code=401 error_type="AuthenticationError" message="认证失败，请提供有效的 X-API-Key 或 Bearer Token"
2026-08-03 22:08:51,404 | INFO | fast_app.middlewares.request_id_middleware | request_id=4887ab80a319463abcf60cf2b2ff11c3 | trace_id=4887ab80a319463abcf60cf2b2ff11c3 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=401 latency_ms=5.42
2026-08-03 22:09:42,999 | INFO | fast_app.middlewares.request_id_middleware | request_id=e67b3f79fd2e459f8b7789eb4e70e53c | trace_id=e67b3f79fd2e459f8b7789eb4e70e53c | http_request event="http.request.finish" method="OPTIONS" path="/auth/login" status_code=200 latency_ms=0.29
2026-08-03 22:09:43,099 | INFO | fast_app.middlewares.request_id_middleware | request_id=b16f41101f16402eaaa78f5f46c6c305 | trace_id=b16f41101f16402eaaa78f5f46c6c305 | http_request event="http.request.finish" method="POST" path="/auth/login" status_code=200 latency_ms=97.6
2026-08-03 22:09:43,103 | INFO | fast_app.middlewares.request_id_middleware | request_id=c4f91840242940d1b446448cee44a0cc | trace_id=c4f91840242940d1b446448cee44a0cc | http_request event="http.request.finish" method="OPTIONS" path="/auth/me" status_code=200 latency_ms=0.39
2026-08-03 22:09:43,139 | INFO | fast_app.middlewares.request_id_middleware | request_id=53b860e6915b4f8688f097b4eb859ed2 | trace_id=53b860e6915b4f8688f097b4eb859ed2 | http_request event="http.request.finish" method="GET" path="/auth/me" status_code=200 latency_ms=32.97
2026-08-03 22:09:53,474 | INFO | fast_app.middlewares.request_id_middleware | request_id=3654860e47cc4de1ae4947fdd554f136 | trace_id=3654860e47cc4de1ae4947fdd554f136 | http_request event="http.request.finish" method="OPTIONS" path="/rag/chat/stream/events" status_code=200 latency_ms=0.39
2026-08-03 22:09:56,494 | INFO | fast_app.middlewares.request_id_middleware | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | http_request event="http.request.finish" method="POST" path="/rag/chat/stream/events" status_code=200 latency_ms=3016.96
2026-08-03 22:09:56,494 | WARNING | fast_app.middlewares.request_id_middleware | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | slow_operation event="http.request.slow" latency_ms=3016.96 threshold_ms=3000.0 slow_component="http_request" method="POST" path="/rag/chat/stream/events" status_code=200 status="success"
2026-08-03 22:10:04,804 | INFO | httpx | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 22:10:35,595 | INFO | httpx | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 22:10:35,609 | INFO | fast_app.services.conversation.query_rewrite | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | query_rewrite event="query_rewrite.finish" original_query="结合知识库继续比较这些资产，并说明哪些内容还需要公开资料验证。" rewritten_query="结合知识库继续比较《星港远征》中已授权的3D模型资产（角色资产01和角色资产06），重点关注费用、模型面数和移动端适配，并说明哪些内容还需要公开资料验证。" used_history=True used_summary=False summary_version=- history_message_count=2 reason="rewritten_with_history"
2026-08-03 22:10:35,609 | INFO | fast_app.services.rag.rag_agent_pipeline_service | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | rag_agent_query_rewrite event="rag_agent.query_rewrite.applied" session_id="user:user_MBeEmT7K2eGguofW4CZ:session:taskplan-v2-e2e-7-promptfix-20260803:c457dc9b66e1607b" original_query="结合知识库继续比较这些资产，并说明哪些内容还需要公开资料验证。" rewritten_query="结合知识库继续比较《星港远征》中已授权的3D模型资产（角色资产01和角色资产06），重点关注费用、模型面数和移动端适配，并说明哪些内容还需要公开资料验证。" used_history=True used_summary=False summary_version=- reason="当前问题中的“这些资产”指代历史中明确提到的《星港远征》已授权的3D模型资产（角色资产01和角色资产06），比较维度为费用、模型面数和移动端适配，上下文完整，可以独立检索。" history_message_count=2
2026-08-03 22:10:37,326 | INFO | httpx | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 22:11:36,082 | INFO | httpx | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-03 22:12:36,351 | INFO | httpx | request_id=5065214f3a9d4816b9fb73afa36caad4 | trace_id=5065214f3a9d4816b9fb73afa36caad4 | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
